location,depth,Na2O,Density,,c0,gk,cx0,age,y,concentration,albite,MAT,MAP,Na,precipitation,erosion,quartz,calc_concentration
SCT1,-0.15,2.16,1.13,,1560,2.71,714,65,871.9473193,787.6,0.66,13.4,0.727,787.35,727,0,27.17,787.3548387
SCT1,-0.3,2.07,1.59,,1560,2.71,714,65,1022.600922,1062,0.66,13.4,0.727,1061.71,727,0,27.17,1061.709677
SCT1,-0.4,2.08,1.75,,1560,2.71,714,65,1113.671926,1175,0.66,13.4,0.727,1174.19,727,0,27.17,1174.193548
SCT1,-0.65,2.26,1.79,,1560,2.71,714,65,1296.169894,1305,0.66,13.4,0.727,1304.97,727,0,27.17,1304.967742
SCT1,-0.77,2.41,1.86,,1560,2.71,714,65,1360.024582,1446,0.66,13.4,0.727,1446,727,0,27.17,1446
SCT1,-0.85,2.43,1.77,,1560,2.71,714,65,1394.875927,1388,0.66,13.4,0.727,1387.45,727,0,27.17,1387.451613
SCT1,-0.98,2.6,1.61,,1560,2.71,714,65,1440.139158,1351,0.66,13.4,0.727,1350.32,727,0,27.17,1350.322581
SCT1,-1.1,2.74,1.67,,1560,2.71,714,65,1471.527426,1477,0.66,13.4,0.727,1476.06,727,0,27.17,1476.064516
SCT1,-1.35,2.65,1.63,,1560,2.71,714,65,1513.776012,1394,0.66,13.4,0.727,1393.39,727,0,27.17,1393.387097
SCT1,-1.61,2.73,1.65,,1560,2.71,714,65,1536.803617,1454,0.66,13.4,0.727,1453.06,727,0,27.17,1453.064516
SCT1,-2.5,2.96,1.74,,1560,2.71,714,65,1557.89203,1662,0.66,13.4,0.727,1661.42,727,0,27.17,1661.419355
SCT1,-2.7,2.95,1.71,,1560,2.71,714,65,1558.773345,1628,0.66,13.4,0.727,1627.26,727,0,27.17,1627.258065
SCT2,-0.25,1.07,1.13,,1380,0.632,362,90,405.7442001,390.2,0.73,13.4,0.727,390.03,727,0,23.25,390.0322581
SCT2,-0.4,1.11,1.59,,1380,0.632,362,90,433.4191881,569.5,0.73,13.4,0.727,569.32,727,0,23.25,569.3225806
SCT2,-0.56,1.04,1.75,,1380,0.632,362,90,464.0310541,587.3,0.73,13.4,0.727,587.1,727,0,23.25,587.0967742
SCT2,-0.7,0.98,1.79,,1380,0.632,362,90,491.6651103,566.1,0.73,13.4,0.727,565.87,727,0,23.25,565.8709677
SCT2,-0.86,0.74,1.86,,1380,0.632,362,90,524.1130204,444.2,0.73,13.4,0.727,444,727,0,23.25,444
SCT2,-1,0.86,1.77,,1380,0.632,362,90,553.1642854,491.2,0.73,13.4,0.727,491.03,727,0,23.25,491.0322581
